run gen best mean std
1 0 4.674196 1.663438 1.376223
1 1 5.170877 2.698967 1.188936
1 2 5.24935 3.106964 1.309167
1 3 5.303442 3.933267 1.172485
1 4 5.3596 4.648145 0.667448
1 5 13.58258 4.940515 1.46497
1 6 13.58258 4.982884 2.241215
1 7 20.891342 5.732728 3.376376
1 8 105.7462 9.758193 16.384404
1 9 34.771806 7.511791 7.958041
1 10 31.827985 8.963912 7.704785
1 11 48.220996 13.770847 11.623756
1 12 54.782803 13.881598 10.68694
1 13 45.236437 18.841349 11.948683
1 14 56.955513 20.426029 15.172215
1 15 64.766973 21.320817 15.054461
1 16 66.036364 15.41386 17.476486
1 17 94.93039 27.990716 23.805717
1 18 94.93039 31.707094 26.860089
1 19 94.93039 38.832918 26.506198
1 20 98.345422 39.117923 31.384816
1 21 103.367103 46.606198 32.668872
1 22 101.213616 57.196063 30.097381
1 23 101.213616 51.613287 34.361373
1 24 98.827714 50.184471 28.678321
2 0 5.428951 1.667906 1.463874
2 1 7.657931 2.338717 1.697447
2 2 26.795352 3.72667 4.092451
2 3 8.767341 3.979902 1.973449
2 4 16.719141 4.622028 3.168363
2 5 11.703513 5.781841 2.677712
2 6 24.917874 5.819418 4.709127
2 7 54.175275 6.765644 9.231764
2 8 54.270322 7.777214 11.14982
2 9 54.563568 11.903172 14.660411
2 10 47.847039 8.851943 9.143272
