run gen best mean std
1 0 505.0 232.233333 152.08894
1 1 539.0 341.55 103.386923
1 2 695.0 360.283333 149.172366
1 3 820.0 395.35 174.794172
1 4 841.0 478.5 130.142358
1 5 1063.0 545.716667 192.989796
1 6 1063.0 562.983333 235.624188
1 7 1063.0 611.416667 266.186184
1 8 1076.0 852.333333 227.503492
1 9 1064.0 771.333333 195.797018
2 0 685.0 209.316667 165.056378
2 1 791.0 353.366667 231.03387
2 2 849.0 540.75 213.394656
2 3 957.0 560.2 307.293524
2 4 892.0 675.933333 183.3392
2 5 909.0 706.15 154.773875
2 6 884.0 663.216667 154.703247
2 7 884.0 641.6 122.867571
2 8 1054.0 627.75 175.059359
