run gen best mean std
1 0 519.0 83.65 148.541669
1 1 510.0 190.45 151.812047
1 2 629.0 260.1 199.93584
1 3 624.0 344.8 152.419684
1 4 703.0 442.875 142.778883
1 5 703.0 396.05 188.044137
1 6 703.0 398.75 137.832824
1 7 703.0 401.775 158.387261
1 8 621.0 381.775 123.923462
1 9 707.0 415.375 156.596725
1 10 726.0 400.55 168.069323
1 11 687.0 370.05 169.355093
1 12 687.0 443.55 157.984327
1 13 721.0 441.075 177.560467
1 14 721.0 450.025 151.083005
2 0 396.0 137.4 138.943658
2 1 511.0 216.95 124.567642
2 2 535.0 269.175 134.711708
2 3 535.0 311.625 156.859123
2 4 535.0 391.5 127.665579
2 5 626.0 459.275 106.994857
2 6 630.0 469.1 92.056722
2 7 727.0 453.8 106.034004
2 8 727.0 461.875 174.537988
2 9 730.0 483.4 140.25901
2 10 736.0 528.125 134.415808
2 11 738.0 458.275 126.461849
2 12 738.0 539.625 141.886519
2 13 739.0 512.45 130.916758
2 14 742.0 541.55 138.145385
3 0 608.0 175.675 154.404888
3 1 608.0 263.325 180.651652
3 2 629.0 374.575 186.863036
3 3 757.0 468.35 176.537609
3 4 757.0 545.7 139.62489
3 5 757.0 420.4 261.997786
3 6 757.0 517.075 229.614937
3 7 757.0 519.825 213.107119
3 8 851.0 443.4 280.293221
3 9 757.0 423.25 264.976107
3 10 753.0 498.35 208.714584
