run gen best mean std
1 0 14.460936 -114.575597 99.326209
1 1 75.779823 -37.311171 86.997699
1 2 280.219359 -58.870959 110.326218
1 3 77.464043 -57.758548 101.86018
1 4 284.576612 -15.475045 112.029708
1 5 287.135799 -65.965673 172.025463
1 6 287.267215 48.117963 204.11994
1 7 291.018442 90.998922 184.564762
1 8 291.018442 78.63854 194.57731
1 9 291.018442 25.134 212.83349
2 0 24.240776 -105.7959 101.120406
2 1 276.121864 -48.739384 104.702603
2 2 276.476289 -25.95446 101.361801
2 3 291.801723 -20.972583 149.988186
2 4 294.020675 116.336258 141.40147
2 5 296.419004 166.40233 139.875076
2 6 294.106775 165.180982 141.652177
2 7 295.488602 195.09305 111.917784
2 8 297.378503 184.754768 142.180893
2 9 301.816349 169.510139 144.271917
3 0 25.109724 -80.142417 100.538877
3 1 274.964554 -64.080851 109.20579
3 2 35.251475 -63.371877 102.805119
3 3 39.966932 -33.249479 90.765364
3 4 57.922276 -26.732744 97.524811
3 5 65.848383 -31.294735 103.727935
3 6 70.618495 -8.266849 100.701529
3 7 73.840344 4.503184 104.433388
3 8 77.511375 2.328799 109.638783
3 9 77.511375 29.031241 86.551925
4 0 69.734262 -107.342562 102.757119
