run gen best mean std
1 0 25.335042 0.159303 4.636001
1 1 114.955034 3.159861 16.395671
1 2 114.955034 4.024382 16.592801
1 3 102.610422 6.043189 15.452698
1 4 110.702889 18.29847 27.164304
1 5 116.547284 33.724995 45.108439
1 6 118.124539 74.243894 44.315339
1 7 118.124539 65.811122 49.832217
1 8 115.028675 77.822817 42.84644
1 9 118.347089 72.173636 45.973389
2 0 10.169561 0.406219 1.605003
2 1 11.432098 2.239759 3.518306
2 2 21.08029 4.798718 5.472885
2 3 21.08029 8.541019 6.276999
2 4 47.669584 13.492845 8.370805
2 5 51.610738 13.266039 11.339545
2 6 56.780369 20.977184 14.170286
2 7 67.793312 21.416087 19.91716
2 8 67.793312 28.091685 20.390998
2 9 67.793312 24.978883 21.071156
3 0 10.546334 -0.524117 3.867293
3 1 18.298411 2.321393 4.687264
3 2 18.298411 4.887435 6.082356
3 3 89.381806 7.704711 13.454429
3 4 18.298411 4.358288 5.936942
3 5 47.879909 7.721503 8.701728
3 6 47.879909 9.94037 8.589267
3 7 54.010036 11.097139 11.002847
3 8 49.595023 14.466323 12.566016
3 9 75.835804 29.21453 16.566232
4 0 4.611919 0.137394 0.71307
4 1 8.553804 0.244462 2.043159
4 2 38.05411 1.880748 6.783826
4 3 16.852606 3.081936 4.208106
4 4 20.305882 7.670731 4.548736
4 5 18.516554 7.442416 5.093366
4 6 18.516554 8.192099 5.569793
4 7 20.995631 10.751089 4.761092
4 8 20.995631 12.097564 4.573332
4 9 20.995631 10.530337 5.485793
