run gen best mean std
1 0 5.5 0.21 1.03
1 1 12.0 1.014218 2.961691
1 2 32.0 3.145347 6.30086
1 3 98.530451 7.846925 16.859685
1 4 98.530451 15.360566 25.155739
1 5 98.530451 13.434235 22.348085
1 6 98.530451 27.739769 28.968031
1 7 94.650854 28.500392 32.95199
1 8 97.920925 51.783102 35.281302
1 9 97.920925 49.963493 30.989826
2 0 1.0 0.02 0.14
2 1 1.5 0.06 0.257682
2 2 12.5 0.67 1.853672
2 3 12.5 1.36 2.0001
2 4 33.0 1.45 4.620877
2 5 33.0 3.79 8.294028
2 6 12.0 1.84 2.510856
2 7 17.0 3.2 3.725587
2 8 24.0 5.45 5.399306
2 9 31.0 5.978202 6.870129
3 0 9.0 0.21 1.265267
3 1 42.33787 1.677583 6.916999
3 2 60.175778 9.450309 13.929246
3 3 82.356389 25.536642 23.2474
3 4 82.356389 22.861192 27.429142
3 5 91.481616 23.152451 26.011886
3 6 91.481616 22.999878 24.296472
3 7 77.719946 21.074226 24.652746
3 8 86.240464 23.662311 24.918638
3 9 92.262179 26.772982 29.677772
4 0 0.080231 0.001605 0.011232
4 1 0.0 0.0 0.0
4 2 113.758602 2.335172 15.923171
4 3 123.470046 4.356536 23.457421
4 4 123.470046 12.111497 35.36933
4 5 131.862739 27.634889 48.105978
4 6 132.081455 29.872281 50.166295
4 7 142.731141 32.308451 53.207349
4 8 141.588882 26.327232 49.815974
4 9 141.588882 44.785878 54.412801
