run gen best mean std
1 0 80.048329 -126.81023 99.47244
1 1 82.682445 -43.364083 97.596713
1 2 283.965876 -13.032467 119.418903
1 3 283.965876 40.588235 102.445481
1 4 300.273228 39.854275 106.345795
1 5 300.273228 45.101388 157.340883
1 6 302.659628 98.4792 180.598805
1 7 302.659628 97.886868 184.496605
1 8 302.659628 105.482965 170.588195
1 9 302.659628 75.147402 197.781401
2 0 84.04228 -110.347723 104.93558
2 1 274.495484 -26.052218 105.303106
2 2 292.708979 -39.044764 153.381438
2 3 297.398547 10.94447 179.230238
2 4 302.51811 115.083087 191.736257
2 5 311.127568 28.700956 202.024335
2 6 311.127568 59.49109 209.000805
2 7 311.127568 119.867301 211.248359
2 8 311.097585 54.752902 213.3759
2 9 311.097585 123.583782 215.047279
3 0 74.065732 -122.149941 99.331461
3 1 74.065732 -59.006504 100.171518
3 2 80.846036 -13.339015 102.468161
3 3 92.866624 54.335486 64.72197
3 4 87.865248 69.725123 15.718769
3 5 93.23112 76.023905 16.544858
3 6 285.463003 83.39102 49.420033
3 7 292.841833 135.712568 86.141807
3 8 292.841833 180.778281 101.12012
3 9 292.841833 193.74789 104.282538
