run gen best mean std
1 0 37.5 0.77 5.249009
1 1 37.5 2.45 8.795027
1 2 42.0 2.78 9.23751
1 3 36.5 2.899731 8.333144
1 4 44.5 6.693324 12.783201
1 5 44.5 7.363487 13.651488
1 6 38.5 4.217312 10.722193
1 7 113.613352 12.962893 20.163896
1 8 105.885546 24.758826 27.619356
1 9 105.885546 33.044744 23.903549
1 10 105.885546 36.112731 23.505639
1 11 105.885546 43.698319 23.375363
1 12 118.970687 52.595403 36.312876
1 13 110.263274 40.770862 22.014815
1 14 110.263274 43.179174 21.313315
2 0 18.5 0.619831 2.864047
2 1 36.0 2.376267 7.886541
2 2 36.0 3.4555 9.078494
2 3 36.0 8.838898 11.752318
2 4 38.0 9.676669 13.40757
2 5 38.0 7.038134 12.332403
2 6 38.0 7.67975 12.994985
2 7 38.0 9.25023 13.27667
2 8 42.331452 7.216901 12.898459
2 9 42.331452 12.20845 14.5054
2 10 42.331452 8.219673 13.435222
2 11 38.0 9.586713 12.657366
2 12 38.0 16.019983 15.97604
2 13 38.0 4.742891 10.159218
2 14 39.5 6.528134 13.419457
