run gen best mean std
1 0 1.5 0.03 0.21
1 1 24.0 0.547948 3.57177
1 2 57.389995 2.365503 9.075901
1 3 32.0 3.934755 8.124338
1 4 121.992888 17.774206 28.331949
1 5 94.992851 20.00145 26.117875
1 6 123.005362 28.97842 35.362316
1 7 91.68822 28.868255 28.453588
1 8 115.027764 40.196992 31.937521
1 9 115.027764 49.114494 37.386083
2 0 0.0 0.0 0.0
2 1 0.0 -0.0 0.0
2 2 0.0 -0.024114 0.168799
2 3 0.0 0.0 0.0
2 4 20.5 0.243783 3.118809
2 5 31.0 1.92 6.539388
2 6 78.746019 11.665333 17.609892
2 7 70.843225 14.472093 18.56104
2 8 87.81809 24.79903 23.126398
2 9 74.341322 29.263692 17.99383
3 0 0.0 0.0 0.0
3 1 16.5 0.341658 2.309776
3 2 19.5 0.92 3.590766
3 3 104.419092 4.899789 15.913687
3 4 104.419092 9.427297 16.198886
3 5 113.948536 13.687645 19.421284
3 6 110.076269 19.868386 22.610163
3 7 110.076269 24.459172 30.833117
3 8 110.076269 30.074434 36.506111
3 9 110.076269 40.948582 46.047692
4 0 0.5 0.01 0.07
4 1 63.029571 3.208306 11.734084
4 2 38.434724 5.865404 11.341886
4 3 45.737075 15.41113 12.303113
4 4 78.027438 24.230485 16.75584
4 5 86.343573 30.951557 21.088035
4 6 94.695915 27.690696 23.230567
4 7 87.507007 31.601157 18.57262
4 8 87.507007 35.384738 20.38203
4 9 87.507007 33.934827 17.29384
5 0 5.5 0.21 1.03
5 1 12.0 1.014218 2.961691
5 2 32.0 3.145347 6.30086
5 3 98.530451 7.846925 16.859685
5 4 98.530451 15.360566 25.155739
5 5 98.530451 13.434235 22.348085
5 6 98.530451 27.739769 28.968031
5 7 94.650854 28.500392 32.95199
5 8 97.920925 51.783102 35.281302
5 9 97.920925 49.963493 30.989826
6 0 1.0 0.02 0.14
6 1 1.5 0.06 0.257682
6 2 12.5 0.67 1.853672
6 3 12.5 1.36 2.0001
6 4 33.0 1.45 4.620877
6 5 33.0 3.79 8.294028
6 6 12.0 1.84 2.510856
6 7 17.0 3.2 3.725587
6 8 24.0 5.45 5.399306
6 9 31.0 5.978202 6.870129
7 0 9.0 0.21 1.265267
7 1 42.33787 1.677583 6.916999
7 2 60.175778 9.450309 13.929246
7 3 82.356389 25.536642 23.2474
7 4 82.356389 22.861192 27.429142
7 5 91.481616 23.152451 26.011886
7 6 91.481616 22.999878 24.296472
7 7 77.719946 21.074226 24.652746
7 8 86.240464 23.662311 24.918638
7 9 92.262179 26.772982 29.677772
8 0 0.080231 0.001605 0.011232
8 1 0.0 0.0 0.0
8 2 113.758602 2.335172 15.923171
8 3 123.470046 4.356536 23.457421
8 4 123.470046 12.111497 35.36933
8 5 131.862739 27.634889 48.105978
8 6 132.081455 29.872281 50.166295
8 7 142.731141 32.308451 53.207349
8 8 141.588882 26.327232 49.815974
8 9 141.588882 44.785878 54.412801
