run gen best mean std
1 0 84.384816 4.453727 13.879449
1 1 98.350285 17.372814 22.237413
1 2 141.80903 34.174988 26.767718
1 3 141.80903 32.089703 30.829955
1 4 141.80903 52.546608 48.412467
1 5 146.380566 92.197511 45.925773
1 6 155.06001 124.924143 32.548967
1 7 159.771759 120.045202 44.849197
1 8 163.087136 114.422081 47.186085
1 9 163.399339 111.580696 51.029821
2 0 7.0 0.350452 1.270647
2 1 15.830598 1.384803 3.290688
2 2 146.878652 8.740129 21.376786
2 3 146.878652 15.147634 30.736527
2 4 146.878652 32.248493 43.554923
2 5 153.033946 32.802505 43.644914
2 6 153.033946 35.310823 45.228589
2 7 157.865046 46.3049 52.373068
2 8 162.543005 65.984828 62.073641
2 9 164.22965 98.653432 62.827129
3 0 129.947569 3.785939 19.386592
3 1 129.947569 11.174452 24.852549
3 2 151.956918 25.982372 34.884045
3 3 154.050802 34.322527 41.270766
3 4 151.956918 35.37161 43.842748
3 5 144.560536 32.673171 42.871678
3 6 144.560536 49.225614 45.928542
3 7 144.560536 29.477615 38.01044
3 8 154.699588 44.392703 46.096032
3 9 150.074783 41.56736 49.064667
4 0 18.313108 0.510355 3.690888
4 1 41.5 4.217028 8.390342
4 2 115.717273 8.523203 18.044542
4 3 171.57065 23.514855 46.20969
4 4 171.57065 71.954261 69.75079
4 5 172.837538 144.310446 44.210208
4 6 171.916924 141.513896 45.353773
4 7 171.916924 146.003665 43.156396
4 8 171.916924 150.157897 37.219904
4 9 171.916924 152.376561 35.817037
5 0 25.335042 0.159303 4.636001
5 1 114.955034 3.159861 16.395671
5 2 114.955034 4.024382 16.592801
5 3 102.610422 6.043189 15.452698
5 4 110.702889 18.29847 27.164304
5 5 116.547284 33.724995 45.108439
5 6 118.124539 74.243894 44.315339
5 7 118.124539 65.811122 49.832217
5 8 115.028675 77.822817 42.84644
5 9 118.347089 72.173636 45.973389
6 0 10.169561 0.406219 1.605003
6 1 11.432098 2.239759 3.518306
6 2 21.08029 4.798718 5.472885
6 3 21.08029 8.541019 6.276999
6 4 47.669584 13.492845 8.370805
6 5 51.610738 13.266039 11.339545
6 6 56.780369 20.977184 14.170286
6 7 67.793312 21.416087 19.91716
6 8 67.793312 28.091685 20.390998
6 9 67.793312 24.978883 21.071156
7 0 10.546334 -0.524117 3.867293
7 1 18.298411 2.321393 4.687264
7 2 18.298411 4.887435 6.082356
7 3 89.381806 7.704711 13.454429
7 4 18.298411 4.358288 5.936942
7 5 47.879909 7.721503 8.701728
7 6 47.879909 9.94037 8.589267
7 7 54.010036 11.097139 11.002847
7 8 49.595023 14.466323 12.566016
7 9 75.835804 29.21453 16.566232
8 0 4.611919 0.137394 0.71307
8 1 8.553804 0.244462 2.043159
8 2 38.05411 1.880748 6.783826
8 3 16.852606 3.081936 4.208106
8 4 20.305882 7.670731 4.548736
8 5 18.516554 7.442416 5.093366
8 6 18.516554 8.192099 5.569793
8 7 20.995631 10.751089 4.761092
8 8 20.995631 12.097564 4.573332
8 9 20.995631 10.530337 5.485793
