run gen best mean std
1 0 3.0 0.08 0.44
1 1 28.0 0.85 4.111265
1 2 23.0 1.036632 3.37381
1 3 83.70453 5.437129 15.230823
1 4 83.70453 12.63304 23.084105
1 5 100.423587 15.538018 24.641392
1 6 100.423587 16.9316 23.522546
1 7 100.423587 24.935279 31.304693
1 8 133.770368 47.652158 36.615095
1 9 133.770368 34.017752 41.421975
1 10 133.770368 36.059073 46.98729
1 11 133.770368 33.259245 44.753214
1 12 133.770368 36.381303 47.268721
1 13 133.770368 47.785976 53.435893
1 14 133.770368 59.770763 54.706681
2 0 0.0 0.0 0.0
2 1 1.0 0.02 0.14
2 2 1.0 0.03 0.155242
2 3 4.0 0.007316 1.248394
2 4 5.5 0.83664 1.408531
2 5 70.658104 4.698314 13.05753
2 6 70.658104 12.424284 20.500346
2 7 111.394916 24.302638 30.957958
2 8 116.807877 64.175223 30.91997
2 9 120.730689 68.960119 35.12143
2 10 132.436921 80.022701 39.92614
2 11 146.478665 82.243929 36.088991
2 12 146.478665 85.204151 44.212994
2 13 145.860779 96.248167 43.664381
2 14 147.435183 99.740596 44.589601
3 0 148.644944 4.402899 21.652387
