run gen best mean std
1 0 256.0 0.22 162.82488
1 1 256.0 64.1 133.99
1 2 281.5 102.74 130.135631
1 3 281.5 158.68 105.838262
1 4 284.0 199.42 95.103909
1 5 281.5 164.52 111.754774
1 6 282.5 166.5 101.180631
1 7 282.5 174.34 124.431003
1 8 282.5 149.34 122.03235
1 9 285.5 173.5 109.334075
2 0 347.5 -14.54 149.673038
2 1 414.0 72.94 129.643844
2 2 275.5 79.66 124.182263
2 3 285.5 109.0 121.796552
2 4 285.5 119.86 116.235581
2 5 285.5 68.1 169.801826
2 6 310.0 168.48 117.020296
2 7 317.5 197.5 107.712302
2 8 362.0 214.82 148.13385
2 9 366.5 288.54 86.820726
3 0 194.0 -37.46 138.737012
3 1 250.5 38.2 143.044539
3 2 250.5 129.42 99.421696
3 3 247.0 76.78 135.430652
3 4 207.0 63.82 131.382029
3 5 297.5 89.82 141.014175
3 6 299.5 141.22 114.944776
3 7 300.5 146.54 111.834513
3 8 300.5 189.1 98.283366
3 9 326.5 212.22 114.18582
4 0 218.0 10.38 126.534128
