run gen best mean std
1 0 4.324972 1.981252 1.500359
1 1 5.243593 3.573176 0.896958
1 2 8.470138 4.198836 1.562081+
1 3 8.470138 4.677472 2.138296
1 4 12.503761 6.023838 3.539326
1 5 15.029634 7.901461 3.780956
1 6 38.482634 12.455924 8.927882
1 7 38.482634 16.357608 11.814354
1 8 47.213216 16.314537 14.471422
1 9 49.262616 14.05321 15.829846
2 0 60.599197 3.736373 10.640405
2 1 54.827144 7.673809 12.400314
2 2 110.781748 47.964471 42.066455
2 3 110.781748 64.87426 40.010095
2 4 116.226946 60.879947 38.40323
2 5 116.226946 62.928374 40.74829
2 6 121.942182 66.099611 41.959446
2 7 117.528345 76.185829 36.655072
2 8 122.074864 64.787785 42.924344
2 9 122.074864 83.13201 39.422583
3 0 4.52128 1.79234 1.29638
3 1 4.822449 3.02687 1.387217
3 2 4.822449 3.707815 1.230852
3 3 9.747229 4.306134 1.575853
3 4 9.854277 5.371656 2.015645
3 5 10.506848 8.48087 2.217905
3 6 11.264104 7.608688 3.055626
3 7 11.264104 7.903194 3.291141
3 8 11.308075 6.254662 4.095784
3 9 12.151414 8.039912 3.635474
