run gen best mean std
1 0 495.0 144.966667 156.740015
1 1 803.0 219.4 189.59898
1 2 812.0 249.333333 211.952877
1 3 690.0 308.533333 169.906785
1 4 942.0 440.233333 241.424341
1 5 942.0 488.1 264.782219
1 6 969.0 651.3 221.759051
1 7 968.0 766.066667 122.197909
1 8 958.0 770.533333 132.574692
1 9 958.0 750.266667 181.784292
2 0 460.0 127.0 154.32455
2 1 923.0 230.166667 223.531367
2 2 923.0 323.166667 215.342066
2 3 682.0 277.933333 228.100261
2 4 944.0 372.566667 261.492981
2 5 941.0 380.6 226.422849
2 6 936.0 421.033333 261.191307
2 7 938.0 549.233333 239.358683
2 8 939.0 584.0 240.238909
2 9 939.0 507.333333 282.162286
