run gen best mean std
1 0 0.019394 0.01056 0.008834
1 1 0.015157 0.014656 0.000501
1 2 0.016355 0.015886 0.000469
1 3 0.016355 0.014565 0.00179
1 4 0.017073 0.015587 0.001486
1 5 0.015283 0.013876 0.001407
1 6 0.018062 0.017195 0.000867
1 7 0.017401 0.016625 0.000776
1 8 0.015935 0.015888 4.7e-05
1 9 0.018166 0.01705 0.001116
2 0 0.025522 0.014331 0.011191
2 1 0.025522 0.025522 0.0
2 2 0.025522 0.025522 0.0
2 3 0.024978 0.024904 7.4e-05
2 4 0.024489 0.023584 0.000905
2 5 0.024531 0.023982 0.000549
2 6 0.024847 0.024689 0.000158
2 7 0.024847 0.023797 0.00105
2 8 0.025146 0.021946 0.003199
2 9 0.026122 0.025634 0.000488
3 0 0.081302 0.05316 0.028142
3 1 0.095203 0.088321 0.006883
3 2 0.099619 0.083057 0.016562
3 3 0.099026 0.096956 0.002071
3 4 0.099545 0.099253 0.000291
3 5 0.098465 0.096688 0.001777
3 6 0.096008 0.095158 0.00085
3 7 0.10059 0.0982 0.002391
3 8 0.09945 0.098828 0.000622
3 9 0.099546 0.089503 0.010043
