run gen best mean std
1 0 360.0 -21.66 155.819942
1 1 256.0 75.14 114.398035
1 2 344.5 119.96 123.774304
1 3 344.5 152.18 131.898209
1 4 343.5 161.22 126.885151
1 5 343.5 184.18 128.936487
1 6 377.0 233.9 125.671079
1 7 412.0 196.84 156.063174
1 8 412.0 111.26 170.637752
1 9 347.0 93.26 140.724775
2 0 187.0 7.84 132.372106
2 1 226.0 65.1 129.75184
2 2 226.0 132.6 90.628803
2 3 251.0 90.78 131.814725
2 4 226.0 113.4 111.709445
2 5 255.0 119.7 135.309423
2 6 298.0 132.34 163.91307
2 7 324.0 214.52 93.402086
2 8 298.0 216.48 98.094493
2 9 318.0 225.84 58.379914
3 0 419.5 9.44 173.929832
3 1 423.5 95.64 178.447781
3 2 418.5 137.64 150.977318
3 3 420.0 173.14 164.159588
3 4 423.0 306.06 166.220235
3 5 424.5 396.0 71.721684
3 6 426.0 386.88 98.976288
3 7 426.0 390.48 84.322889
3 8 423.5 390.58 55.004487
3 9 448.0 381.7 99.394668
4 0 347.5 72.98 136.342032
4 1 348.0 128.06 131.912495
4 2 348.5 210.34 137.961714
4 3 379.5 274.44 112.079197
4 4 379.5 336.0 19.672824
4 5 379.5 319.74 27.516584
4 6 355.5 280.24 60.234832
4 7 355.5 295.43 43.32453
4 8 382.0 320.34 55.35235
4 9 382.0 325.26 38.34235
5 0 256.0 0.22 162.82488
5 1 256.0 64.1 133.99
5 2 281.5 102.74 130.135631
5 3 281.5 158.68 105.838262
5 4 284.0 199.42 95.103909
5 5 281.5 164.52 111.754774
5 6 282.5 166.5 101.180631
5 7 282.5 174.34 124.431003
5 8 282.5 149.34 122.03235
5 9 285.5 173.5 109.334075
6 0 347.5 -14.54 149.673038
6 1 414.0 72.94 129.643844
6 2 275.5 79.66 124.182263
6 3 285.5 109.0 121.796552
6 4 285.5 119.86 116.235581
6 5 285.5 68.1 169.801826
6 6 310.0 168.48 117.020296
6 7 317.5 197.5 107.712302
6 8 362.0 214.82 148.13385
6 9 366.5 288.54 86.820726
7 0 194.0 -37.46 138.737012
7 1 250.5 38.2 143.044539
7 2 250.5 129.42 99.421696
7 3 247.0 76.78 135.430652
7 4 207.0 63.82 131.382029
7 5 297.5 89.82 141.014175
7 6 299.5 141.22 114.944776
7 7 300.5 146.54 111.834513
7 8 300.5 189.1 98.283366
7 9 326.5 212.22 114.18582
8 0 287.5 14.88 162.389918
8 1 294.0 96.02 152.096514
8 2 294.0 179.52 116.897261
8 3 354.0 179.4 151.092554
8 4 356.5 182.28 141.107695
8 5 354.0 180.0 160.024811
8 6 354.0 182.38 130.234532
8 7 354.0 220.34 91.092554
8 8 358.0 225.93 83.382734
8 9 382.5 250.73 104.234532
